,Stock_Ticker
0,CMCSA
1,KMI
2,INTC
3,MU
4,GE
5,BAC
6,AAPL
7,MSFT
8,SIRI
9,HPQ
10,CX
11,CZR
12,F
13,AMD
14,SNAP
15,FB
16,WFC
17,AIG
18,T
19,C
20,VALE
21,MS
22,AKS
23,JPM
24,ORCL
25,NKE
26,PG
27,GSM
28,HK
29,BBD
30,PFE
31,JD
32,NOK
33,TWTR
34,AVGO
35,AMAT
36,WFT
37,DWDP
38,ZNGA
39,XOM
40,QCOM
41,VIPS
42,CSCO
43,AXP
44,BMY
45,V
46,USO
47,GRPN
48,WP
49,GERN
50,KEY
51,RF
52,KR
53,HAL
54,BABA
55,MRO
56,CLNS
57,GILD
58,GM
59,FCX
60,CRM
61,ATVI
62,SQ
63,P
64,TWX
65,NUE
66,SWN
67,LOW
68,RAD
69,VEON
70,APC
71,ESV
72,SLB
73,FLEX
74,FOXA
75,ABBV
76,GIS
77,VZ
78,XRX
79,CVLT
80,X
81,MAT
82,CTL
83,MIK
84,DVN
85,IBN
86,MPC
87,PM
88,MSCI
89,RDN
90,KO
91,AABA
92,SRC
93,NFX
94,COP
95,CHK
96,DIS
97,LEN
98,CVX
99,PYPL
100,CTRP
101,AUY
102,WMT
103,CLF
104,MRK
105,MDLZ
106,RSPP
107,GG
108,MGM
109,GFI
110,KGC
111,SCHW
112,NBR
113,SRCI
114,JAG
115,NVDA
116,JNJ
117,WDC
118,BSX
119,STI
120,ON
121,ITUB
122,BK
123,HMY
124,APA
125,HOME
126,NGD
127,KOS
128,DAL
129,INFY
130,CCL
131,BHGE
132,MFGP
133,PBR
134,DISCA
135,LPI
136,ABT
137,FITB
138,PTEN
139,USB
140,BA
141,GGB
142,JBLU
143,QEP
144,EBAY
145,HBAN
146,DB
147,MRVL
148,ABX
149,WBA
150,CDNA
151,ETP
152,KNX
153,KBH
154,DISCK
155,PGR
156,MO
157,MDT
158,RIG
159,BCS
160,CDEV
161,DNR
162,EOG
163,HPE
164,TXN
165,OAS
166,OKE
167,CVS
168,HES
169,GDDY
170,BX
171,NLSN
172,TS
173,BOX
174,OXY
175,OCLR
176,CVE
177,FTI
178,AA
179,ABEV
180,EQR
181,ESRX
182,MDR
183,ANDV
184,TAL
185,UNH
186,ECA
187,GES
188,AMZN
189,NFLX
190,ENTG
191,CSX
192,WYNN
193,FOX
194,CNC
195,ZION
196,CLDR
197,RES
198,CI
199,SYNH
200,HBI
201,XL
202,PAYX
203,CELG
204,D
205,CHS
206,CFG
207,SU
208,MMM
209,BIIB
210,JBL
211,ACN
212,NTR
213,PAH
214,BRFS
215,SBUX
216,PE
217,LVS
218,EGO
219,GSK
220,TEVA
221,PAA
222,VLO
223,CSRA
224,IMAX
225,FNB
226,ADSK
227,HD
228,BIDU
229,AR
230,ARNC
231,VOYA
232,MLCO
233,SM
234,NTRS
235,DHI
236,UAL
237,HRB
238,BTU
239,JBGS
240,IPG
241,DE
242,KHC
243,COG
244,IBM
245,WTW
246,NYT
247,AAL
248,OLN
249,JCI
250,VICI
251,VST
252,NWL
253,EPD
254,KMB
255,AEP
256,IT
257,CAT
258,AU
259,MYL
260,XRAY
261,KKR
262,CMC
263,JCP
264,SYMC
265,TMUS
266,RMP
267,NRG
268,CPB
269,ATHM
270,WRB
271,MOMO
272,TGT
273,TV
274,GLW
275,MAS
276,DOV
277,HRL
278,S
279,TECK
280,AES
281,PPL
282,SEE
283,NLY
284,FRC
285,STX
286,ADBE
287,K
288,RTN
289,M
290,TSLA
291,CY
292,TSM
293,STL
294,NYCB
295,TRQ
296,NBL
297,FDC
298,BAH
299,BUFF
300,ARI
301,MET
302,AFL
303,TPR
304,WPM
305,LNT
306,BTG
307,UTX
308,WLL
309,LKQ
310,PCG
311,CRZO
312,CENX
313,PGNX
314,CLR
315,FCAU
316,IMGN
317,HL
318,LULU
319,UAA
320,CAG
321,STLD
322,PEP
323,SO
324,ETE
325,COST
326,GKOS
327,CCI
328,ZTO
329,GS
330,ZAYO
331,ADT
332,ALTR
333,GGP
334,EMR
335,CNP
336,ALXN
337,COTY
338,MA
339,AWI
340,ADP
341,MULE
342,BBVA
343,MNST
344,AER
345,GTN
346,CDE
347,NCR
348,AMT
349,PSTG
350,VRX
351,SJM
352,ETN
353,DUK
354,CL
355,IDRA
356,KAR
357,NEE
358,PXD
359,WPX
360,ADM
361,VTR
362,VMW
363,RIGL
364,DKS
365,FG
366,WTI
367,LRCX
368,NXPI
369,CE
370,HUN
371,CSTM
372,VER
373,GPK
374,WELL
375,TJX
376,PLD
377,KSS
378,XEC
379,DRI
380,OZRK
381,ENDP
382,ATI
383,IAG
384,VFC
385,BDN
386,HON
387,YNDX
388,USG
389,GOOGL
390,ICE
391,OMER
392,WY
393,BLL
394,CGNX
395,AMGN
396,FSLR
397,IVZ
398,DG
399,SID
400,SLM
401,SLCA
402,HCP
403,PF
404,SGU
405,ODP
406,PK
407,TLGT
408,TOL
