,Stock_Ticker
0,CMCSA
1,KMI
2,INTC
3,MU
4,GE
5,BAC
6,AAPL
7,MSFT
8,SIRI
9,HPQ
10,CX
11,CZR
12,F
13,AMD
14,SNAP
15,FB
16,WFC
17,AIG
18,T
19,C
20,VALE
21,MS
22,AKS
23,JPM
24,ORCL
25,NKE
26,PG
27,GSM
28,HK
29,BBD
30,PFE
31,JD
32,NOK
33,TWTR
34,AVGO
35,AMAT
36,ZNGA
37,XOM
38,QCOM
39,VIPS
40,CSCO
41,AXP
42,BMY
43,V
44,USO
45,GRPN
46,WP
47,GERN
48,KEY
49,RF
50,KR
51,HAL
52,BABA
53,MRO
54,GILD
55,GM
56,FCX
57,CRM
58,ATVI
59,SQ
60,NUE
61,SWN
62,LOW
63,RAD
64,VEON
65,APC
66,ESV
67,SLB
68,FLEX
69,FOXA
70,ABBV
71,GIS
72,VZ
73,XRX
74,CVLT
75,X
76,MAT
77,CTL
78,MIK
79,DVN
80,IBN
81,MPC
82,PM
83,MSCI
84,RDN
85,KO
86,SRC
87,COP
88,CHK
89,DIS
90,LEN
91,CVX
92,PYPL
93,AUY
94,WMT
95,CLF
96,MRK
97,MDLZ
98,MGM
99,GFI
100,KGC
101,SCHW
102,NBR
103,SRCI
104,JAG
105,NVDA
106,JNJ
107,WDC
108,BSX
109,ON
110,ITUB
111,BK
112,HMY
113,APA
114,HOME
115,NGD
116,KOS
117,DAL
118,INFY
119,CCL
120,MFGP
121,PBR
122,DISCA
123,LPI
124,ABT
125,FITB
126,PTEN
127,USB
128,BA
129,GGB
130,JBLU
131,QEP
132,EBAY
133,HBAN
134,DB
135,MRVL
136,WBA
137,CDNA
138,KNX
139,KBH
140,DISCK
141,PGR
142,MO
143,MDT
144,RIG
145,BCS
146,CDEV
147,DNR
148,EOG
149,HPE
150,TXN
151,OAS
152,OKE
153,CVS
154,HES
155,GDDY
156,BX
157,NLSN
158,TS
159,BOX
160,OXY
161,CVE
162,FTI
163,AA
164,ABEV
165,EQR
166,MDR
167,TAL
168,UNH
169,ECA
170,GES
171,AMZN
172,NFLX
173,ENTG
174,CSX
175,WYNN
176,FOX
177,CNC
178,ZION
179,CLDR
180,RES
181,CI
182,SYNH
183,HBI
184,PAYX
185,D
186,CHS
187,CFG
188,SU
189,MMM
190,BIIB
191,JBL
192,ACN
193,NTR
194,BRFS
195,SBUX
196,PE
197,LVS
198,EGO
199,GSK
200,TEVA
201,PAA
202,VLO
203,IMAX
204,FNB
205,ADSK
206,HD
207,BIDU
208,AR
209,ARNC
210,VOYA
211,MLCO
212,SM
213,NTRS
214,DHI
215,UAL
216,HRB
217,BTU
218,JBGS
219,IPG
220,DE
221,KHC
222,COG
223,IBM
224,NYT
225,AAL
226,OLN
227,JCI
228,VICI
229,VST
230,NWL
231,EPD
232,KMB
233,AEP
234,IT
235,CAT
236,AU
237,MYL
238,XRAY
239,KKR
240,CMC
241,JCP
242,TMUS
243,NRG
244,CPB
245,ATHM
246,WRB
247,MOMO
248,TGT
249,TV
250,GLW
251,MAS
252,DOV
253,HRL
254,S
255,TECK
256,AES
257,PPL
258,SEE
259,NLY
260,FRC
261,STX
262,ADBE
263,K
264,RTN
265,M
266,TSLA
267,CY
268,TSM
269,STL
270,NYCB
271,TRQ
272,NBL
273,FDC
274,BAH
275,ARI
276,MET
277,AFL
278,TPR
279,WPM
280,LNT
281,BTG
282,UTX
283,WLL
284,LKQ
285,PCG
286,CENX
287,PGNX
288,CLR
289,FCAU
290,IMGN
291,HL
292,LULU
293,UAA
294,CAG
295,STLD
296,PEP
297,SO
298,COST
299,GKOS
300,CCI
301,ZTO
302,GS
303,ZAYO
304,ADT
305,ALTR
306,EMR
307,CNP
308,ALXN
309,COTY
310,MA
311,AWI
312,ADP
313,BBVA
314,MNST
315,AER
316,GTN
317,CDE
318,NCR
319,AMT
320,PSTG
321,SJM
322,ETN
323,DUK
324,CL
325,IDRA
326,KAR
327,NEE
328,PXD
329,WPX
330,ADM
331,VTR
332,VMW
333,RIGL
334,DKS
335,FG
336,WTI
337,LRCX
338,NXPI
339,CE
340,HUN
341,CSTM
342,VER
343,GPK
344,WELL
345,TJX
346,PLD
347,KSS
348,XEC
349,DRI
350,ENDP
351,ATI
352,IAG
353,VFC
354,BDN
355,HON
356,YNDX
357,GOOGL
358,ICE
359,OMER
360,WY
361,BLL
362,CGNX
363,AMGN
364,FSLR
365,IVZ
366,DG
367,SID
368,SLM
369,SLCA
370,SGU
371,ODP
372,PK
373,TLGT
374,TOL
375,PDCO
376,Z
377,BCO
378,CME
379,BKD
380,PPBI
381,JMEI
382,ETFC
383,AIV
384,EXC
385,TAP
386,UNP
387,BDX
388,GME
389,PEGI
390,MX
391,RLJ
392,LB
393,TIF
394,DLPH
395,NCLH
396,NOV
397,CNDT
398,LMT
399,MTZ
400,WEN
401,GPS
402,SYY
403,CEF
404,WDR
405,FTV
406,BKI
407,CTSH
